Id,Reaction,External ids,template,GN_CRS2_LM,LN_PRAXIS,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r36_tkt,GAP+S7P-->Xu5P+R5P,(kegg:R01641r),746.0210587731916,737.769780235067,741.5942213201254,free,1.0,1.0,0.0,1000.0,HIJ+FGABCDE-->FGHIJ+ABCDE,no
r37_tal,GAP+S7P-->F6P+E4P,(kegg:R08575f),306.27093299286,5.402440065163946,5.300375464083058,free,1.0,1.0,0.0,1000.0,ABC+DEFGHIJ-->DEFABC+GHIJ,no
r38_tal,E4P+F6P-->S7P+GAP,(kegg:R08575r),297.4297528577268,0.14609446566490347,6.359445329427417e-08,free,1.0,1.0,0.0,1000.0,GHIJ+DEFABC-->DEFGHIJ+ABC,no
r39_tkt,E4P+Xu5P-->F6P+GAP,(kegg:R01067f),596.1584062898263,56.95228427282371,58.1310513901729,free,1.0,1.0,0.0,1000.0,ABCD+EFGHI-->EFABCD+GHI,no
r40_tkt,GAP+F6P-->Xu5P+E4P,(kegg:R01067r),587.317226154693,51.695938673324676,52.8306759896843,free,1.0,1.0,0.0,1000.0,GHI+EFABCD-->EFGHI+ABCD,no
r41_ldh,Pyr+NADH-->Lac,(kegg:R00703),106.05274882043261,122.37619853471915,122.4190219902847,free,1.0,1.0,0.0,300.0,ABC-->ABC,no
r42_Lac_ex,Lac-->LacEx,(kegg:Lac_ex),106.05274882043261,122.37619853471915,122.4190219902847,fitting,121.93,7.87,0.0,300.0,nd,no
r46_SubsGln,SubsGln-->Gln,(kegg:SubsGln),14.1,14.1,14.1,fixed,14.1,1.0,0.0,100.0,ABCDE-->ABCDE,no
r47_gls,Gln-->Glu,(kegg:R00253),13.953378883,13.953378883,13.953378883,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r49_gludh,Glu-->aKG,(kegg:R00243f),15.005781757528995,81.01063443097873,80.47506670641795,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r50_gludh,aKG-->Glu,(kegg:R00243r),0.15235418652893573,66.15720685997867,65.6216391354179,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r51_Glu_ex,Glu-->GluEx,(kegg:Glu1),5.18,5.18,5.18,fixed,5.18,1.0,0.0,100.0,nd,no
r52_pro,Glu-->Pro,(kegg:Pro),0.8925230120000001,0.8925230120000001,0.8925230120000001,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r53_Pro_ex,Pro-->ProEx,(kegg:Pro_ex),0.75,0.75,0.75,fixed,0.75,1.0,0.0,100.0,nd,no
r54_asp,Oxacyt-->Asp,(kegg:R00355),3.153717609086641,3.453892907171678,3.420206961716417,free,1.0,1.0,0.0,100.0,ABCD-->ABCD,no
r55_Asp_ex,Asp-->AspEx,(kegg:Asp_ex),0.79,0.79,0.79,fixed,0.79,1.0,0.0,100.0,nd,no
r56_asns,Asp-->Asn,(kegg:R00483),2.145561779086677,2.4457370771717137,2.412051131716453,free,1.0,1.0,0.0,100.0,ABCD-->ABCD,no
r57_Asn_ex,Asn-->AsnEx,(kegg:Asn_ex),2.014422395086683,2.31459769317172,2.280911747716459,fitting,2.26,0.53,0.0,100.0,nd,no
r58_gpt_m,Pyr-->Ala,(kegg:R00258),3.703207051,3.703207051,3.703207051,free,1.0,1.0,0.0,100.0,ABC-->ABC,no
r59_Ala_ex,Ala-->AlaEx,(kegg:Ala_ex),3.43,3.43,3.43,fixed,3.43,1.0,0.0,100.0,nd,no
r71_SubsLeu,SubsLeu-->Leu,(kegg:SubsLeu),0.256814628,0.256814628,0.256814628,free,0.0,1.0,0.0,1000.0,ABCDEF-->ABCDEF,no
r72_SubsIle,SubsIle-->Ile,(kegg:SubsIle),0.147531808,0.147531808,0.147531808,fitting,0.0,1.0,0.0,100.0,ABCDEF-->ABCDEF,no
r75_SubsVal,SubsVal-->Val,(kegg:SubsVal),0.189423555,0.189423555,0.189423555,fitting,0.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r77_SubsArg,SubsArg-->Arg,(kegg:Glu),7.32,7.32,7.32,fixed,7.32,1.0,0.0,100.0,ABCDEF-->ABCDEF,no
r78_arg_deg,Arg-->Glu,(kegg:Arg),7.148334903,7.148334903,7.148334903,free,1.0,1.0,0.0,100.0,ABCDEF-->ABCDE,no
r82_acl,Cit-->AcCOAcyt+Oxacyt,(kegg:R00352),46.18866091203461,21.036933296136,21.076532353201628,free,1.0,1.0,0.0,200.0,FEDBAC-->AB+CDEF,no
r83_AcCOA_BIO,AcCOAcyt-->AcCOABiomass,(kegg:BiomassAcCoA),1.133038818,1.133038818,1.133038818,fixed,1.133038818,1.0,0.0,1000.0,nd,no
r84_G6P_BIO,G6P-->G6PBiomass,(kegg:BiomassG6P),0.13296076499998905,0.13296076499998846,0.13296076499998846,fixed,0.132960765,1.0,0.0,1000.0,nd,no
r85_R5P_BIO,R5P-->R5PBiomass,(kegg:BiomassR5P),0.166701836,0.166701836,0.166701836,fixed,0.166701836,1.0,0.0,1000.0,nd,no
r86_DHAP_BIO,DHAP-->DHAPBiomass,(kegg:BiomassDHAP),0.054186065,0.054186065,0.054186065,fixed,0.054186065,1.0,0.0,1000.0,nd,no
r87_Ser_BIO,PGA-->SerBiomass,(kegg:R01513),0.273207051,0.273207051,0.273207051,fixed,0.273207051,1.0,0.0,1000.0,nd,no
r89_Ala_BIO,Ala-->AlaBiomass,(kegg:BiomassAla),0.273207051,0.273207051,0.273207051,fixed,0.273207051,1.0,0.0,1000.0,nd,no
r90_Asp_BIO,Asp-->AspBiomass,(kegg:BiomassAsp),0.21815583,0.21815583,0.21815583,fixed,0.21815583,1.0,0.0,1000.0,nd,no
