Reaction,template_production,template_consumption,Initial_production,Initial_consumption,SLSQP_production,SLSQP_consumption,COBYLA_production,COBYLA_consumption,LN_COBYLA_production,LN_COBYLA_consumption,LN_BOBYQA_production,LN_BOBYQA_consumption,LN_NEWUOA_production,LN_NEWUOA_consumption,LN_PRAXIS_production,LN_PRAXIS_consumption,LN_SBPLX_production,LN_SBPLX_consumption,LN_NELDERMEAD_production,LN_NELDERMEAD_consumption,GN_CRS2_LM_production,GN_CRS2_LM_consumption,deep_production,deep_consumption
FUM,0,50.0,0,46.801626277937885,0,50.121959889924824,0,50.117051844767616,0,50.12075410755688,0,49.83466742524337,0,48.44393929328987,0,50.066918124860365,0,49.412719964887515,0,50.14596970849959,0,50.146398407244305,0,50.14627617005209
v5,50.0,0,46.80162627793786,0,50.12195988992481,0,50.11705184476759,0,50.12075410755688,0,49.83466742524337,0,48.44393929328985,0,50.06691812486036,0,49.412719964887515,0,50.14596970849961,0,50.1463984072443,0,50.146276170052175,0
